GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Petitions,foo,Consistency.new Runnable() {...},59,0,2,0,13,0,3,0,2,0
Petitions,foo,Consistency.new Runnable() {...},62,0,2,0,11,0,3,0,2,0
Petitions,foo,Consistency.new Runnable() {...},73,0,2,0,15,0,3,0,2,0
Petitions,foo,PrefixServlet,189,0,8,0,33,0,8,0,4,0
Petitions,foo,FriendQuery,372,0,8,0,55,0,6,0,2,0
Petitions,foo,FriendServlet,110,0,4,0,17,0,4,0,2,0
Petitions,foo,PrefixClean,58,0,2,0,11,0,3,0,2,0
Petitions,foo,Counting.new Runnable() {...},72,0,2,0,12,0,3,0,2,0
Petitions,foo,FriendBlockServlet,144,0,6,0,21,0,5,0,2,0
Petitions,foo,HelloAppEngine,0,82,0,0,0,12,0,3,0,3
Petitions,foo,CountingTR.new Runnable() {...},102,0,4,0,21,0,4,0,2,0
Petitions,foo,CountingTR,118,0,4,0,23,0,5,0,3,0
Petitions,foo,PetitionEndpoint,372,0,6,0,79,0,12,0,9,0
Petitions,foo,PostMessage,3,0,0,0,1,0,1,0,1,0
Petitions,foo,PetitionQuery,145,0,4,0,24,0,4,0,2,0
Petitions,foo,RandomResult,9,0,0,0,3,0,1,0,1,0
Petitions,foo,CountingSh.new Runnable() {...},103,0,4,0,19,0,4,0,2,0
Petitions,foo,MsgIndex,228,0,4,0,35,0,4,0,2,0
Petitions,foo,PrefixQuery,302,0,8,0,48,0,6,0,2,0
Petitions,foo,CountingSh,143,0,8,0,25,0,6,0,2,0
Petitions,foo,Consistency,144,0,6,0,36,0,6,0,3,0
Petitions,foo,UsersServlet,50,0,2,0,17,0,3,0,2,0
Petitions,foo,TestTransaction,75,0,4,0,14,0,4,0,2,0
Petitions,foo,PetitionServlet,89,0,4,0,13,0,4,0,2,0
Petitions,foo,Petition,3,0,0,0,1,0,1,0,1,0
Petitions,foo,Counting,115,0,4,0,22,0,4,0,2,0
